_sOO32rszOs,,"Pc Rent Occurred Live    : Dr Pradip Mohanta - 4th May, 2024",This surgery video is only for education purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0UN8Gp0YBEM,,Retina Surgeon Achilees Heel,This is a short video in which we can see what leftover Islands of Cortical Vitreous can have a detrimental effect on the final outcome of Surgery .,km_20230918_1080p_30f_20230919_135653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E0GWMgxzTZY,,"FAILER GRT Sx, ME & COSMOS","A philosophical adaptation , finding a synergy Between daily chore as a VR surgeon and Upnishads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DDy33hONnms,,NEGATIVE STAINING OF ERM WITH ILM PEELING,"This short surgical video clip clearly dmonstrates how ERM can be negatively stained using BBG , boundary well demarcated and this can be used to assess the cleavage plane. Also shows that ILM is inadvertently removed while removing the ERM. 
Njoi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IsyM6Gm71Zs,,Stage 5 ROP,"This is a case of a stage 5 ROP with anterior segment changes. Baby was one-eyed, other eye being inoperaple.  This short surgical video emphasises that sometimes LESS IS MORE in stage 5 ROP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0hfeJgwmWLk,,live cat with rrd,this is a case of complicated catarct with fresh rrd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c7PAU6Tm94k,,END STAGE TRD,Surgical Dilemma . What would you have done.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MiLQL2NMryE,,hh,hh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aXpgGMsUlIc,,hello,hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1xDokXVloyg,,video,video,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dzh1i-hwG34,,hello,hello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hGsNWLo0i8o,,video check,video libe stream check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0JXhGbPlmT8,,TROCARS AND CANNULA Live Stream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSXXumiHILo,,video live check,its a check for video streaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1vRhucMVX0I,,Stage 4a ROP,This video demonstrates a case of Stage 4a ROP managed by 240 Band Buckling as a support to TRD followed by Subsequent removal of band at 9 months of baby age once peripheral TRD was stable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W-DXDOkfp_M,,PVD INDUCTION IN PTMH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i4huuByBwQ8,,ILM VISUALISATION IN OERTLI OS4 DIFFERENT CHROMATIC COMBINATION,Oertli OS4 has 3 LED bulbs of different wavelengths. The system provides users with option to match different hues for better visualisation of different tissues of Interest. We analyse handling of ILM stained with Brilliant Blue G in extreme Blue and Extreme Yellow combinations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X9eWsLV_qt0,,GRT WITH ESRD,This is a case of 180 Degree GRT with ESRD. The case showcases various situations that we may encounter during handling of such advance PVR and how the author circumvents those tricky situation. Hopefully the viewers might associate their surgical experiences with this tricky situation. The author looks forward for constructive comments and opinion from the Surgical Retina community.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMd91vp8Do,,Sub-PFCL ILM staining and Peeling,"Conventinally ILM peeling in MHRD is done under fluid, this method describes ILM peeling using the aid of PFCL bubble on posterior pole and staining underneath the PFCL Bubble. It also describes few advantages that are associated with using a PFCL bubble.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HuVf1dpvRyY,,MTM WITH MHRD,ILMP TO ADDRESS MTM WITH MHRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hnxq_3hnafM,,ENDOPHTHALMITIS WITH MACULAR ABSCEES,"Endophthalmitis is a dreaded complication. This video illustrates basic step of Endophthalmitis management.
Pt-65 Yr/F, Acute Endophthalmitis post catract Sx
PL +, PR inaccurate
Not responding to IVAB

Surgical challenges, Extremely shallow AC, Organised exudates in Anterior chamber

Intraoperative Challenges- Low visbility, PVD induction , Macular Abscess",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aIO5pN3wOuo,,HOW COME ITS HERE,Strange IOFBs in a case of Typical RRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvkEgHXLXU,,OD PIT missing the Bulls eye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOrbL72ps34,,ILM translocation in Persistent MH post VRSx for RRD with MH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aIQJJ3D-4Vc,,CHRONIC RRD STAR FOLD ILM PEELING,"My second try on windows 10 PC with Openshot video Editor. I movie is fun. This video basically summarises subretinal Light placement during Trocar insertion, Star fold removal through Pinch & Grasp technique and ILM staining using Hard Tip Canula and 1 ml syringe under PFCL. Rest are usual steps . Apologies for a very ok ok Video editing. Still familarising myself with Open shot Video editor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NyrDjnBwKBA,,PCIOL OPACITIES SWEEPING,Iris Pigments on Anterior Surface of PCIOL obscuring posterior segment Visualisation in a case of Chronic RRD (Duration Greater than 1 year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGnkW4pJWKA,,STARTING OT IN COVID ERA,Personal Take on How to Kickstart your Eye or Ophthalmic Operation Theatre in current COVID Era,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vy5P06udji4,,AR WITH GRT9,"last clip of polycoria with GRT, Will soon upload the complete edited video",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH1lvh0U_SI,,STAGE 5 ROP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yFiBaX4I49U,,Tees Din Raushni Ke,A Nukkad Natak on College Foundation Day at IGIMS-PATNA by Third Year Optometry students.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HiN2gYuvreo,,OD PIT WITH RRD,one eyed patient with RRD with coexisting optic disc pit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BC1zmyNdX9o,,ONE EYED GRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
byEgOOedxUo,,Peripapillary PVD induction in tenacious thin cortical vitreous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GbceMAsouzw,,PVD in chronic Paediatric RRD with forceps,Inducing PVD with ILM forceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tuE1iRqCXLg,,PK WITH ESRD edited,Post PK Rerinal detatchment is a rare entity. Here is a case of 35 yr/F with post PK needle stick injury and ESRD. Post op 1 month retina isattatched with BCVA of 3/60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FsWa7dKB8Qo,,Retina Rap,An outpouring of few thoughts by a retina surgeons personal experience for all budding ophthalmologists how "Perseverance" always pays in this long and uphill path.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmpkH7Ibwm4,,GRT 2,180 Degree GRT in a Young Patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cKUcffoCrJE,,subretinal cysticercosis with titles,"Sx performed at Regional Institute of Ophthalmology, IGIMS-Patna
Surgeon- Dr. Abhishek Anand, Assistant Professor, Department of Vitreo Retina.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoQPyaWjPws,,subretinal cysticercosis,This is a case of Subretinal cysticercosis removal in a 4 yr old child with neurocysticercosis and papilledema. BCVA in affected eye was 6/6. Other eye was unaffected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TT3JCLry4tQ,,DUS KA DUM PROMO FOR BOS FINAL 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_8GSyDV1ouc,,DUS KA DUM final BOS Promo,"15 questions , two teams of five each",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sk-pDYAOdbM,,ilmp for MTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vTQroHzetnI,,DR WITH TABLE TOP 3,pdr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3gu_CK1sA9Y,,subfoveal PFCL 2,Subfoveal PFCL removal,subfoveal PFCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JLQ9x83V6IQ,,Dil keh raha hai,Street music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpBO0UT7HT0,,My practice lifestyle.,My practice lifestyle.,My,practice,lifestyle.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI8in4A6Nfk,,My Lifestyle Out Reach.,My Lifestyle Out Reach.,My,Lifestyle,Out,Reach.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tComNO4Caxw,,CCC under BSS using Cortex Aspirator,"This video shows how easy to do CCC under BSS by using the simple, self made cortex aspirator in HMC (Hyper Mature Cataract). It is very easy and good control by this technique.",CCC,under,BSS,using,Cortex,Aspirator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wOnkP_AJxFk,,Modified Blumenthal technique in HMC,"Modified Blumenthal technique in HMC is performed by Dr.Cheocharn Wiriyalappa, Prapokklao Hospital,Chanthaburi Province,Thailand. Step by step of the surgical procedures are described in this vedio presentation.",Modified,Blumenthal,technique,in,HMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HM7qvPiH-eE,,Pterygium Graft, ,Pterygium,Graft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yp3vDpX72VU,,Equatorial Capsule Rent,This video shows very rare equatorial capsule rent with a heminucleus slipping through it and getting stuck among zonules but brought back successfully nd emulsified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z321kSKHRvE,,Manual Femtorhexis,With proper technique a Rhexis as good as Femto Rhexis can be made  manually,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F5-aZTkBXJg,,Removing epinucleus in small pupil,In a small pupil case done without hooks or ring rhexis is invariably small. it becomes difficult to remove epinucleus especially if it is pulpy. Pulling on the cortex assisted by pushing with irrigation from irrigation canula would dislodge the epinucleus.,Small Pupil Cat Surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v1soP_wAunc,,Hide & Seek Nucleus ASCRS 2017,ASCRS 2017 Exhibit. Shows a rare case of equatorial capsular rent.,ASCRS 2017 exhibit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KlN7swXe4RQ,,Descmetopexy Final,Descements membrane detachment tackled by a simple air bubble,descements membrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pBjvdfuTw8o,,Managing Per Operative Miosis by Bimanual I/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ki7F-2ob8k4,,"Jessica  & Eric's Wedding, 10/3/2010","Cell phone video of Jessica Prince Wolfish and Eric Wolfish's wedding on 10/3/2010 at The Rittenhouse Hotel, Philadelphia captured by Mike Scharpf's cell phone",Premiere_Elements_8,Wedding (Event),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYa3N_0CQgY,,Jess Prince down the aisle,A moment a father cherishes FOREVER --- walking his daughter down the aisle!,jess,down,the,aisle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OG85CjBF5Hg,,1990 01   Jess sleds into tree,Hilarious video taken by her Dad when she was 6 years old sledding at a friend's backyard right into a tree. She was fine!,1990,1,Jess,sleds,into,tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8JujbMwddKQ,,Superior Siepser Slipknot,"We start with a aphasic patient and then the implantation of a MA60 into the inferior bag and since there is no superior support, the haptic is then sutured to the iris using the Siepser Slipknot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YWAznQbCXow,,A message from Dr. Masket,Dr. Masket explains the Masket Foundation and the upcoming on-line auction to support the charitable work of the Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PYT1FxPuZbk,,Masket Foundation Webinar 10 11 20,Masket Foundation patient complex case management educational webinar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rYPrHOdhSyM,,All that Jazz,14  y/o granddaughter Delilah Masket singing the lead.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJeVjx8KyrA,,True Exfoliation,True exfoliation and modest diffuse zonulopathy in a 70 year old southeast asian woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gEXYg0Mr57I,,Stack2,Femtosecond laser assisted IO exchange with incomplete capsule peeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fssN_32zKHI,,postvitrectomy sammasket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BwRIkCjCjTc,,Ada Louise PXF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iz2WDjwNyec,,Gabby LE Short,5 y/o girl with Marfanoid syndrome and 6 clock hours of zonulysis inferotemporally.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUt--cy9G5o,,Sub Tenon,Anesthesia method for direct Sub-Tenon's instillation with special cannula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCaLbi15fUI,,Subluxa??o de cristalino + iridodi¨¢lise + catarata,Cirurgia realizada no Hospital Banco de Olhos - POA pela Dr Daniele Suzuki.,iMovie catarata,luxa??o,iridodi¨¢lise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iCqqJsxE_fY,,Subluxa??o de Cristalino,"Facectomia com facoaspira??o e fixa??o escleral de LIO
Dra Ra¨ªssa Ferreira",subluxa??o fixa??o escleral cristalino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uiOAFwcts6s,,Desprendimiento de Retina Cr¨®nico Seroso secundario a Infecci¨®n por Cisticerco,"Paciente 48 a?os, sin antecedentes de importancia / DR seroso por Cisticerco de 2 a?os de Evoluci¨®n. Mostramos la cirug¨ªa de catarata + vitrectomia + extracci¨®n de quiste de cisticerco subretiniano + retinopexia + endolaser + ac de silicona.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BY-JLGW1jqs,,CIRUGIA DE AGUJERO MACULAR VERDADERO,"CIRUGIA DE AGUJERO MACULAR VERDADERO

CASO: paciente operado de catarata previamente qui¨¦n desarrollo un agujero macular verdadero. Paciente es miope magno. En la cirug¨ªa se muestra el proceso de la vitrectom¨ªa, tinci¨®n y pelado de la Membrana Limitante Interna y colocaci¨®n de gas.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UR0Nlv8eWr4,,FIJACI¨®N ESCLERAL DE LENTE DE 3 PIEZAS EN T¨¦CNICA "L Y L INVERTIDA" T¨¦CNICA DE MORALES,"FIJACI¨®N ESCLERAL DE LENTE DE 3 PIEZAS EN T¨¦CNICA ""L Y L INVERTIDA"" T¨¦CNICA DE MORALES?

CASO: durante la cirug¨ªa de catarata se evidencia desinserci¨®n zonular (subluxaci¨®n del cristalino) mayor a 180, por lo cual se procede a realizar extracci¨®n del cristalino via cavidad v¨ªtrea y fijaci¨®n escleral de lente de 3 piezas MA60AC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CpEYKqOTafc,,FIJACI¨®N ESCLERAL DE LENTE DE 3 PIEZAS EN T¨¦CNICA "L Y L INVERTIDA" T¨¦CNICA DE MORALES,"FIJACI¨®N ESCLERAL DE LENTE DE 3 PIEZAS EN T¨¦CNICA ""L Y L INVERTIDA"" T¨¦CNICA DE MORALES

CASO: paciente qui¨¦n recibi¨® un trauma contundente, presento una subluxaci¨®n del cristalino (ruptura de la zonula o ligamento suspensorio del cristalino), ademas de desarrollar una catarata traum¨¢tica. No hay opci¨®n de extraer la catarata via anterior por alto riesgo de p¨¦rdida v¨ªtrea, requerir una incisi¨®n muy grande, ademas del alto riesgo de hemorragia expulsiva. Se realiz¨® extracci¨®n posterior del cristalino con vitrectom¨ªa completa y se implanto lente fijado a la esclera MA60AC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7EaBTQSqhxY,,FIJACI¨®N ESCLERAL DE LENTE DE 3 PIEZAS EN T¨¦CNICA "L Y L INVERTIDA" T¨¦CNICA DE MORALES,"FIJACI¨®N ESCLERAL DE LENTE DE 3 PIEZAS EN T¨¦CNICA ""L Y L INVERTIDA"" T¨¦CNICA DE MORALES

CASO: paciente afaco luego de una cirug¨ªa complicada de catarata en donde se realizo extracci¨®n via v¨ªtrea de la catarata y vitrectom¨ªa. Este video es el segundo tiempo quir¨²rgico del ojo, la finalidad de la cirug¨ªa es implantar el lente MA60AC fijado a la esclera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LrNRO_n6-9E,,"FIJACI¨®N ESCLERAL DE LENTE DE 3 PIEZAS EN ""L Y L INVERTIDA"", T¨¦CNICA DE MORALES","FIJACI¨®N ESCLERAL DE LENTE DE 3 PIEZAS EN ""L Y L INVERTIDA"", T¨¦CNICA DE MORALES

CASO: desprendimiento de retina regmat¨®geno; una luxaci¨®n a cavidad v¨ªtrea de un lente MA60AC, con una haptica se rompi¨® la retina, lo que produjo el desprendimiento. Se adhiri¨® la retina y se rescat¨® el lente fij¨¢ndolo a la esclera.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbEM6fGvtLM,,Pterygium    glue dia de las muertos 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lmtYfjEwu_A,,Iris cyst Rx c ETOH,Treatment of iris epithelial implantation cysts with intracystic ETOH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h7VjgqGnXLY,,Capsular tension ring insertion in the setting of zonular loss,Several cases of Capsular Tension Ring insertion in the setting of zonular loss are presented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKPIYF5OeUE,,Capsular tension ring insertion - the basics,This video demonstrates the basic technique of capsular tension ring insertion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gwMbgmcQR2s,,Application of amniotic membrane for corneal perforation,This video deals with the application of amniotic membrane to temporize in the case of a patient with fungal keratitis who has developed a small corneal perforation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mi39rVeKMys,,Yamane problems - haptic lost under the conjunctiva,"This video deals with a problem encountered during the Yamane procedure i.e: loss of a haptic under the conjunctiva, and one approach to management.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aZI8rna64tk,,Iris Cerclage,This is a video illustrating the performance of an iris cerclage suture to treat a tonically dilated pupil.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XcYaP5iS3GM,,Fijacio?n LIO 3 piezas a esclera te?cnica Yamane,Fijaci¨®n de LIO 3 piezas Matrix (Focus) con Vitrectom¨ªa pars plana y extracci¨®n de LIO plegable monopieza en un paciente con trauma ocular y luxaci¨®n de LIO plegable a cavidad v¨ªtrea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yFFImMT-KCI,,Queratoplastia penetrante + Reseccio?n de Pterigion,Trasplante de c¨®rnea penetrante en una paciente con Pterigion y leucoma post ¨²lcera corneal infecciosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPiIKjWscMo,,Implante de segmento intraestromal asistido con l¨¢ser de femtosegundos,Implante de segmento intraestromal asistido con l¨¢ser de femtosegundos para queratocono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCC3TNv6K8o,,Centro Oftalmol¨®gico Doctor Fernando P¨®lit Huerta,"Somos un centro m¨¦dico especializado en Oftalmolog¨ªa con m¨¢s de 35 a?os de experiencia en cirug¨ªa y diagnostico de las patolog¨ªas que afectan a la salud visual.

Estamos Ubicados eN Guayaquil-Ecuador.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M8ZOsiGs9iU,,Centro Oftalmol¨®gico Doctor Fernando P¨®lit Huerta,"Centro Oftalmol¨®gico Doctor Fernando P¨®lit Huerta con mas de 35 a?os de experiencia en la oftalmolog¨ªa.

Contamos con multiples quirofanos con equipos de ultima tecnolog¨ªa para el tratamiento de catarata, cirug¨ªa refractiva, ptergi¨®n, queratocono, entre otras patolog¨ªas.

Contamos con L¨¢ser de Femtosegundos y L¨¢ser Excimer para nuestros procedimiento de cirug¨ªa refractiva.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wd6sfpCXy_4,,Cirugia Refractiva Centro Oftalmol¨®gico Doctor Fernando P¨®lit Huerta,"FemtoLASIK - La t¨¦cnica mas moderna para corregir defectos refractados como miop¨ªa , astigmatismo, hipermetrop¨ªa y presbicia.",Cirugia refractiva,Miopia,astigmatismo,hipermetropia,presbicia,cirugia laser,centrooftalmologicodoctorfernandopolithuerta,oftalmologoguayaquil,oftalmologia,oftalmologo,ojos,cirugia de ojo,oftalmologo guayaquil,fernando polit,andres polit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PcgAxG078bM,,Entrevista al Doctor Fernando P¨®lit Huerta sobre el diagn¨®stico y manejo quir¨²rgico de la catarata,"Entrevista realizada por el Doctor Jaime Soria, conductor del programa Viva Mejor de la Universidad Cat¨®lica Santiago de Guayaquil en el cual se habl¨® de la primera causa de ceguera reversible a nivel mundial, la catarata. Entre los temas a tratar el @drfernandopolithuerta hablo sobre el manejo quir¨²rgico de la catarata y sobre c¨®mo el l¨¢ser Femtosegundo asiste al procedimiento.

Para m¨¢s informaci¨®n visitanos en nuestra p¨¢gina web www.cofph.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2bHrhQsbpE4,,Unci¨®n de la capsula anterior del cristalino en cirug¨ªa de catarata asistida por L¨¢ser Femtosegundo,"En este video se muestra la t¨¦cnica de Unci¨®n de la capsula anterior del cristalino del Dr. Fernando P¨®lit Huerta en un paciente al cual previamente se le realiz¨® un capsulorexis por l¨¢ser de Femtosegundo. Se observa el borde levantamiento de la capsula anterior luego de la aplicaci¨®n de viscoelastico y de azul tripan.

Visitanos en nuestra p¨¢gina web para m¨¢s informaci¨®n www.cofph.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xkZOcG3w0U4,,Cirug¨ªa de catarata asistida por l¨¢ser Femtosegundo en Centro Oftalmol¨®gico Doctor Fernando P¨®lit,"La cirug¨ªa de catarata es la m¨¢s realizada a nivel mundial. Con el paso de los a?os las t¨¦cnicas quir¨²rgicas han tenido un gran desarrollo. El L¨¢ser Femtosegundo asiste el proceso quir¨²rgico facilitando la reproductibilidad de los pasos de la cirug¨ªa mejorando los resultados visuales y disminuyendo las complicaciones.

Visitanos en nuestra p¨¢gina web para m¨¢s informaci¨®n www.cofph.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hZge6K1L2YU,,Dr. Angelitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-7nfQryeoI,,Yamane modificada por Valvecchia,"Fijaci¨®n Escleral de LIO
T¨¦cnica:  Yamane Modificada por Valvecchia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OUPY4BRd2Cc,,Catarata Uve¨ªtica,"Solo con streching
Sinfon¨ªa N¡ã40 Mozart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwWEQapBkLY,,Catarata traum¨¢tica con I Ring / Sinequias posteriores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y07dT7TKqqg,,Trauma Penetrante / Cuerpo extra?o Intraocular jnkmar,"Trauma Penetrante, cuerpo extra?o intraocular.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0zd99H286yE,,Trauma penetrante / Catarata Traum¨¢tica,Dr. Juan Carlos Mart¨ªnez Q.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DinAGuh0oNI,,Facoaspiraci¨®n (Catarata Pedi¨¢trica),Dr. Juan Carlos Mart¨ªnez Q.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863Ihh0L2C0,,Awh MVP? Micro Vacuum Pick Membrane Peel by Dr. Jorge Rocha,Awh MVP? Micro Vacuum Pick video by Dr. Jorge Rocha (Brazil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e_kPwPW3Trk,,27 gauge SuperGrip II ERM ILM peeling by  Dr Yoneda,27 gauge SuperGrip II ERM ILM peeling by Dr. Yoneda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
